name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_group_cleansed,beds,price,review_scores_rating
Rental unit in Antwerp · ★4.24 · 1 bedroom · 1 bed · 1.5 baths,9438737,Joel,f,"Antwerp, Flanders, Belgium",,1,$60.00,4.24
Home in Antwerp · ★4.69 · 1 bedroom · 1 bed · 1.5 shared baths,21679611,Tom,t,"Antwerp, Flanders, Belgium",,1,$79.00,4.69
Townhouse in Antwerp · ★4.85 · 2 bedrooms · 3 beds · 1.5 baths,22144864,Greet,t,"Antwerp, Flanders, Belgium",,3,$256.00,4.85
Rental unit in Antwerp · ★4.86 · 2 bedrooms · 4 beds · 2 baths,15216532,Pascal,t,"Antwerp, Flanders, Belgium",,4,$161.00,4.86
Rental unit in Antwerpen · ★4.89 · 1 bedroom · 1 bed · 1 bath,1754396,Marleen,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$60.00,4.89
Condo in Antwerp · ★4.73 · 2 bedrooms · 2 beds · 1 shared bath,3093188,Saskia,f,"Antwerp, Flanders, Belgium",,2,$64.00,4.73
Rental unit in Antwerpen · ★New · 1 bedroom · 1 bed · 1 bath,23161267,Siegert,f,,,1,$100.00,
Loft in Antwerp · ★4.78 · Studio · 2 beds · 1.5 baths,13059720,Yara,t,"Antwerp, Flanders, Belgium",,2,$82.00,4.78
Cottage in Antwerpen · ★4.65 · 4 bedrooms · 4 beds · 1 bath,24249803,Michel,f,,,4,$190.00,4.65
Condo in Antwerpen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,24507004,Nele,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$165.00,5.0
Rental unit in Antwerpen · ★4.71 · 1 bedroom · 2 beds · 1 bath,25217689,Katrin,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$174.00,4.71
Rental unit in Antwerpen · ★4.89 · 2 bedrooms · 4 beds · 1 bath,25674863,Sam,t,"Antwerpen, Vlaanderen, Belgium",,4,$83.00,4.89
Rental unit in Antwerpen · ★4.71 · 1 bedroom · 1 bed · 1 bath,25701603,Nadi,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$99.00,4.71
Loft in Antwerpen · ★4.92 · Studio · 1 bed · 1 bath,13357011,Liselotte,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$115.00,4.92
Rental unit in Antwerpen · ★4.86 · 2 bedrooms · 2 beds · 2.5 baths,4492282,Lies,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$171.00,4.86
Loft in Antwerpen · ★4.70 · 1 bedroom · 1 bed · 1.5 baths,12309348,Luc & Kristina,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$60.00,4.7
Condo in Antwerpen · 1 bedroom · 1 bed · 1.5 baths,15066463,Lien,f,,,1,$85.00,4.0
Rental unit in Antwerpen · ★4.94 · 1 bedroom · 4 beds · 1.5 baths,27086764,Nina,t,"Antwerpen, Belgium",,4,$100.00,4.94
Loft in Antwerp · ★4.74 · 4 bedrooms · 5 beds · 2.5 baths,6930093,"Ian, Jande En Marie",f,"Antwerp, Vlaams Gewest, Belgium",,5,$370.00,4.74
Home in Antwerpen · ★4.77 · 2 bedrooms · 2 beds · 2 baths,7553126,Tania,t,"Antwerpen, Vlaanderen, Belgium",,2,$99.00,4.77
Rental unit in Antwerpen · ★4.85 · 1 bedroom · 1 bed · 1 bath,10843073,Charly,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$111.00,4.85
Rental unit in Antwerpen · ★4.82 · 1 bedroom · 1 bed · 1 bath,28902892,AchA,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$99.00,4.82
Rental unit in Antwerpen · ★4.95 · 2 bedrooms · 3 beds · 1.5 baths,28902892,AchA,t,,,3,$136.00,4.95
Home in Antwerpen · ★4.84 · 1 bedroom · 2 beds · 1 private bath,28920566,Jasper,t,"Antwerpen, Vlaams Gewest, Belgium",,2,$100.00,4.84
Rental unit in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1 bath,4715596,Caroline & Klaas,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$62.00,4.79
Home in Antwerpen · ★4.71 · 1 bedroom · 1 bed · 1 bath,29779875,&Quot;La Casa Di Frà,f,"Antwerpen, Vlaams Gewest, Belgium",,1,$70.00,4.71
Rental unit in Antwerpen · ★4.70 · 1 bedroom · 2 beds · 1 bath,30038566,Marleen,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$79.00,4.7
Rental unit in Antwerpen · ★4.73 · 1 bedroom · 1 bed · 1.5 baths,4586965,Mariona,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$128.00,4.73
Loft in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,11857224,Christel,f,"Antwerpen, Vlaams Gewest, Belgium",,1,$137.00,4.79
Rental unit in Antwerpen · ★4.32 · 1 bedroom · 2 beds · 1 bath,29134589,Guido,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$135.00,4.32
Place to stay in Antwerp · ★4.31 · 1 bedroom · 1 bed · 1 shared bath,31168861,Monique,f,"Antwerp, Flanders, Belgium",,1,$25.00,4.31
Rental unit in Antwerpen · ★4.94 · 1 bedroom · 2 beds · 1.5 baths,27432928,Anastassya,f,"Antwerpen, Flanders/Vlaanderen, Belgium",,2,,4.94
Condo in Antwerp · ★4.97 · 2 bedrooms · 3 beds · 1 bath,3970988,Arthur,t,"Antwerp, Flanders, Belgium",,3,$186.00,4.97
Rental unit in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1 bath,25673165,Sharon,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$68.00,4.79
Condo in Antwerpen · ★4.91 · 1 bedroom · 1 bed · 1 bath,4742247,Timothy,f,"Antwerpen, Vlaams Gewest, Belgium",,1,$79.00,4.91
Townhouse in Antwerp · ★4.86 · 1 bedroom · 2 beds · 1.5 shared baths,33481052,Anne,t,"Antwerp, Flanders, Belgium",,2,$50.00,4.86
Rental unit in Antwerpen · ★4.92 · 2 bedrooms · 2 beds · 1.5 shared baths,30519050,Bart,t,"Antwerpen, Vlaams Gewest, Belgium",,2,$54.00,4.92
Rental unit in Antwerp · ★4.97 · 1 bedroom · 1 bed · 1.5 baths,34241163,Peter,t,"Antwerp, Flanders, Belgium",,1,,4.97
Townhouse in Antwerpen · ★4.96 · 5 bedrooms · 6 beds · 3.5 baths,9629145,Tom,t,"Antwerpen, Vlaams Gewest, Belgium",,6,$566.00,4.96
Home in Antwerpen · ★4.87 · 1 bedroom · 2 beds · 1.5 shared baths,33481052,Anne,t,"Antwerpen, Vlaams Gewest, Belgium",,2,$45.00,4.87
Rental unit in Antwerpen · ★4.69 · 2 bedrooms · 1 bed · 1 bath,26567466,Aurélie,f,,,1,$89.00,4.69
Rental unit in Antwerpen · ★4.37 · 1 bedroom · 2 beds · 1 bath,34924663,Astrid,f,"Antwerpen, Vlaanderen, Belgium",,2,$68.00,4.37
Home in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,33481052,Anne,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$51.00,5.0
Rental unit in Antwerpen · ★4.33 · Studio · 2 beds · 1 bath,36841645,Anna,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$68.00,4.33
Townhouse in Antwerpen · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,33481052,Anne,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$48.00,4.87
Rental unit in Antwerpen · ★4.64 · 1 bedroom · 1 bed · 1.5 baths,27585607,Christel,f,"Antwerpen, Vlaams Gewest, Belgium",,1,$78.00,4.64
Rental unit in Antwerpen · ★4.85 · 1 bedroom · 1 bed · 1 bath,10832813,Freya,t,,,1,$80.00,4.85
Rental unit in Antwerpen · ★4.66 · 5 bedrooms · 4 beds · 3.5 baths,8851707,KloosUp,t,"Antwerpen, Vlaanderen, Belgium",,4,$183.00,4.66
Rental unit in Antwerpen · ★4.52 · 1 bedroom · 1 bed · 1 bath,40140067,Katrien,f,"Antwerpen, Vlaams Gewest, Belgium",,1,$119.00,4.52
Villa in Antwerpen · ★4.90 · 3 bedrooms · 3 beds · 3 baths,24189736,Paul,f,,,3,$500.00,4.9
Rental unit in Antwerpen · ★4.85 · 2 bedrooms · 2 beds · 2 baths,29142151,Suzy,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$110.00,4.85
Rental unit in Antwerpen · ★4.75 · 2 bedrooms · 1 bed · 1 bath,42451031,Lana,f,"Antwerpen, Vlaams Gewest, Belgium",,1,$199.00,4.75
Loft in Antwerpen · ★4.67 · 2 bedrooms · 2 beds · 2 baths,2793445,Christophe,f,"Antwerpen, Vlaanderen, Belgium",,2,$239.00,4.67
Rental unit in Antwerp · ★4.87 · 2 bedrooms · 2 beds · 1.5 baths,43067380,Laura,t,,,2,$91.00,4.87
Condo in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,43533942,Lisa,f,,,1,,5.0
Houseboat in Antwerp · ★4.51 · 2 bedrooms · 3 beds · 1 bath,44600268,Tom,f,"Antwerp, Belgium",,3,$130.00,4.51
Home in Antwerpen · ★4.71 · 1 bedroom · 2 beds · 1 bath,44623726,Martin,t,,,2,$94.00,4.71
Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,43163766,Olivier,f,,,1,,
Rental unit in Antwerpen · ★4.66 · Studio · 1 bed · 1 bath,44834170,Leni,f,"Antwerpen, Vlaanderen, Belgium",,1,$59.00,4.66
Rental unit in Antwerpen · ★4.81 · 2 bedrooms · 3 beds · 1 bath,222831298,Arne,f,"Antwerpen, Vlaanderen, Belgium",,3,$120.00,4.81
